ID,TIME,lng_h,lat_h,lng_w,lat_w
HLT3VC,2023-12-31T10:42:19+0000,2.1489328,41.48388218,2.02545526,41.54604601
HLT3VC,2024-01-04T18:54:07+0000,2.13309403,41.48935115,2.05299781,41.4831244
HLT3VC,2023-12-30T17:28:58+0000,2.11637464,41.5349353,2.0969046,41.54983743
HLT3VC,2023-12-26T15:16:06+0000,2.12999303,41.49721049,2.09692127,41.47706181
HLT3VC,2023-12-28T18:56:18+0000,2.13332987,41.48920234,2.10306015,41.55319787
HLT3VC,2024-01-05T18:59:10+0000,2.13305805,41.48918874,2.106185,41.84376367
HLT3VC,2024-01-06T12:26:19+0000,2.106185,41.84376367,2.11634285,41.53495183
HLT3VC,2023-12-30T12:02:55+0000,2.13294403,41.48921658,2.11637464,41.5349353
HLT3VC,2023-12-26T12:07:59+0000,2.13316891,41.48935517,2.12999303,41.49721049
HLT3VC,2024-01-06T17:35:40+0000,2.11634285,41.53495183,2.13185206,41.4940346
HLT3VC,2023-12-24T12:02:00+0000,2.1331116,41.48932844,2.13293409,41.4891838
HLT3VC,2024-01-05T12:11:35+0000,2.05299781,41.4831244,2.13294285,41.48920991
HLT3VC,2024-01-03T01:34:58+0000,2.1331116,41.48932844,2.13294285,41.48920991
HLT3VC,2023-12-23T13:02:54+0000,2.16376374,41.38380829,2.13294403,41.48921658
HLT3VC,2023-12-30T10:22:30+0000,2.1489328,41.48388218,2.13294403,41.48921658
HLT3VC,2023-12-24T17:57:39+0000,2.13293409,41.4891838,2.13294403,41.48921658
HLT3VC,2023-12-27T13:47:42+0000,2.1330452,41.48928903,2.13294403,41.48921658
HLT3VC,2023-12-31T16:43:01+0000,2.1331116,41.48932844,2.13294403,41.48921658
HLT3VC,2023-12-28T21:02:11+0000,2.10306015,41.55319787,2.13294403,41.48921658
HLT3VC,2023-12-29T00:38:10+0000,2.13294403,41.48921658,2.1330452,41.48928903
HLT3VC,2023-12-27T12:00:42+0000,2.13318282,41.4893464,2.1330452,41.48928903
HLT3VC,2024-01-07T15:29:33+0000,2.13927147,41.49106027,2.1330452,41.48928903
HLT3VC,2023-12-30T20:11:38+0000,2.0969046,41.54983743,2.1330452,41.48928903
HLT3VC,2024-01-05T18:14:23+0000,2.13926856,41.49106618,2.13305805,41.48918874
HLT3VC,2024-01-01T01:34:47+0000,2.13294403,41.48921658,2.13306278,41.48926632
HLT3VC,2023-12-23T21:19:02+0000,2.22925211,41.47601309,2.13307563,41.48916602
