ID,TIME,lng_h,lat_h,lng_w,lat_w
1,2024-01-07T16:20:51+0000,11.96313082,48.0944896,11.96313082,48.0944896
2,2024-01-06T16:20:47+0000,11.96315367,48.0945684,11.96313082,48.0944896
3,2024-01-05T16:20:45+0000,12.08490973,47.84248048,11.96315367,48.0945684
4,2024-01-04T16:20:45+0000,12.13473556,47.86025251,12.08490973,47.84248048
5,2024-01-03T16:20:29+0000,11.96311732,48.09459659,12.13473556,47.86025251
6,2024-01-02T16:20:18+0000,11.96308187,48.09443148,11.96311732,48.09459659
7,2024-01-02T08:11:31+0000,11.96545094,48.04848927,11.96308187,48.09443148
8,2024-01-01T18:45:06+0000,11.5037832,48.08746908,11.96545094,48.04848927
9,2024-01-01T05:10:18+0000,11.96315241,48.09451483,11.5037832,48.08746908
10,2023-12-31T23:47:22+0000,11.95504098,48.07598564,11.96315241,48.09451483
11,2023-12-31T17:20:57+0000,11.96308955,48.0945348,11.95504098,48.07598564
12,2023-12-31T12:27:24+0000,11.9651606,48.04838899,11.96308955,48.0945348
13,2023-12-30T19:18:35+0000,11.96320125,48.09452538,11.9651606,48.04838899
14,2023-12-30T15:52:49+0000,11.50385843,48.08722164,11.96320125,48.09452538
15,2023-12-30T13:05:18+0000,11.96305791,48.094486,11.50385843,48.08722164
16,2023-12-29T19:20:32+0000,11.98643527,48.07930469,11.96305791,48.094486
17,2023-12-29T17:51:43+0000,11.96308807,48.09455366,11.98643527,48.07930469
18,2023-12-29T15:28:36+0000,11.9699965,48.0771045,11.96308807,48.09455366
19,2023-12-29T11:44:32+0000,11.96396577,48.09408445,11.9699965,48.0771045
20,2023-12-28T19:35:30+0000,11.96895454,48.0454319,11.96396577,48.09408445
21,2023-12-28T18:13:07+0000,11.96331127,48.09436647,11.96895454,48.0454319
22,2023-12-28T15:51:03+0000,11.88948427,48.30954983,11.96331127,48.09436647
23,2023-12-28T14:35:50+0000,11.62667671,48.09970298,11.88948427,48.30954983
24,2023-12-23T19:01:15+0000,11.66371085,48.04072406,11.62667671,48.09970298
25,2023-12-24T19:01:21+0000,11.50449736,48.08769543,11.66371085,48.04072406
26,2023-12-25T19:01:22+0000,11.53108517,48.18298673,11.50449736,48.08769543
27,2023-12-26T14:09:55+0000,N/A,N/A,11.53108517,48.18298673
28,2023-12-27T13:48:32+0000,11.96307349,48.09445421,N/A,N/A
29,2023-12-28T13:18:45+0000,N/A,N/A,11.96307349,48.09445421
30,2023-12-23T17:11:11+0000,11.96319932,48.09448149,N/A,N/A
31,2024-01-07T16:20:51+0000,11.96316977,48.09450789,11.96319932,48.09448149
32,2024-01-06T16:20:47+0000,12.16069529,48.06588607,11.96316977,48.09450789
33,2024-01-05T16:20:45+0000,N/A,N/A,12.16069529,48.06588607
34,2024-01-04T16:20:45+0000,11.96308807,48.09455366,N/A,N/A
35,2024-01-03T16:20:29+0000,11.96306298,48.09453157,11.96308807,48.09455366
36,2024-01-02T16:20:18+0000,11.96307397,48.09456659,11.96306298,48.09453157
37,2024-01-02T08:11:31+0000,N/A,N/A,11.96307397,48.09456659
38,2024-01-01T18:45:06+0000,9.00585531,49.74204833,N/A,N/A
39,2024-01-01T05:10:18+0000,9.00344374,49.74679854,9.00585531,49.74204833
40,2023-12-31T23:47:22+0000,8.95553429,49.6844521,9.00344374,49.74679854
41,2023-12-31T17:20:57+0000,8.5628493,49.52531063,8.95553429,49.6844521
42,2023-12-31T12:27:24+0000,8.78555743,49.65497812,8.5628493,49.52531063
43,2023-12-30T19:18:35+0000,8.95569188,49.68451504,8.78555743,49.65497812
44,2023-12-30T15:52:49+0000,8.95569188,49.68451504,8.95569188,49.68451504
45,2023-12-30T13:05:18+0000,9.00420731,49.74330585,8.95569188,49.68451504
46,2023-12-29T19:20:32+0000,8.95569188,49.68451504,9.00420731,49.74330585
47,2023-12-29T17:51:43+0000,8.99047602,49.66015567,8.95569188,49.68451504
48,2023-12-29T15:28:36+0000,N/A,N/A,8.99047602,49.66015567
49,2023-12-29T11:44:32+0000,9.0020324,49.68252608,N/A,N/A
50,2023-12-28T19:35:30+0000,,,9.0020324,49.68252608
